Agency_lev,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
City,7,0,0,3,0,0,6,0,0,0,0,0,0,6,0,4,0,0,6,0,2,0,0,0,0,4,0,8,0,10,1,0,0,8,0,0,7,46,14,1,4,1,6,8,0,0,0,16,3,3,1,0,0,0,0,1,4,1
County,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,0,0,0,0,0,2,1,0,26,0,0,1,11,0,0,3,11,3,3,32,1,29,1,0,0,0,3,5,10,0,0,0,0,0,1,2,0
Federal,11,98,90,69,90,97,1,89,98,98,97,85,87,93,85,95,94,96,77,99,49,99,64,64,99,92,78,49,89,41,96,99,90,32,93,96,37,39,0,82,10,90,4,0,97,95,99,7,19,11,25,83,100,98,99,91,46,61
Non Profit,0,0,0,0,0,0,2,0,0,0,1,0,0,0,10,0,0,0,5,0,2,0,12,7,0,0,7,6,2,12,1,0,1,15,0,0,2,0,50,0,13,6,2,22,0,1,0,18,29,37,3,1,0,0,0,1,12,0
Private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Special District,46,0,9,0,8,0,65,0,0,0,0,0,6,0,0,0,0,0,4,0,25,1,0,0,0,0,5,3,1,0,0,0,2,12,0,0,4,0,15,0,23,0,22,4,0,0,0,1,6,1,17,0,0,0,0,3,0,12
State,15,2,0,28,2,3,26,11,2,2,2,15,7,1,4,0,4,4,6,0,20,0,23,29,1,4,8,33,8,11,1,1,6,23,7,3,48,4,17,14,18,2,37,64,3,4,1,55,38,39,55,16,0,1,0,4,34,27
